time	V(out1)-V(out2)	I(V5)
0.000000000000000e+000	5.164425e-008	5.164424e-009
7.142856940843350e-011	5.164425e-008	5.164423e-009
1.428571388168670e-010	5.164424e-008	5.164422e-009
2.142857082253005e-010	5.164424e-008	5.164421e-009
2.857142776337340e-010	5.164424e-008	5.164421e-009
3.571428470421675e-010	5.164424e-008	5.164422e-009
4.285714164506010e-010	5.164425e-008	5.164423e-009
4.999999858590343e-010	5.164425e-008	5.164424e-009
9.999999717180685e-010	5.164425e-008	5.164424e-009
1.999999943436137e-009	5.164425e-008	5.164424e-009
3.999999886872274e-009	5.164425e-008	5.164424e-009
6.208764311742777e-009	5.164425e-008	5.164425e-009
9.213529910118492e-009	5.164425e-008	5.164424e-009
1.210673552995295e-008	5.164425e-008	5.164421e-009
1.343063877196104e-008	5.164425e-008	5.164424e-009
1.390023976077373e-008	5.164425e-008	5.164424e-009
1.412162191318997e-008	5.164425e-008	5.164425e-009
1.425984607141046e-008	5.164425e-008	5.164427e-009
1.433913648846811e-008	5.164425e-008	5.164428e-009
1.440193561175265e-008	5.164425e-008	5.164428e-009
1.447407653452812e-008	5.164425e-008	5.164426e-009
1.454313063405321e-008	5.164425e-008	5.164425e-009
1.464024087220551e-008	5.164425e-008	5.164425e-009
1.477294422187374e-008	5.164425e-008	5.164423e-009
1.496378407354814e-008	5.164425e-008	5.164423e-009
1.501945496310494e-008	5.164425e-008	5.164424e-009
1.523165608077448e-008	5.164425e-008	5.164426e-009
1.532790631363820e-008	5.164425e-008	5.164426e-009
1.542815474209823e-008	5.164425e-008	5.164425e-009
1.556869400932419e-008	5.164425e-008	5.164424e-009
1.574431911786286e-008	5.164425e-008	5.164424e-009
1.598113212111982e-008	5.164425e-008	5.164424e-009
1.631544946583429e-008	5.164425e-008	5.164424e-009
1.678857288972248e-008	5.164425e-008	5.164425e-009
1.749547853840287e-008	5.164425e-008	5.164425e-009
1.826108191785109e-008	5.164425e-008	5.164425e-009
1.887853217602404e-008	5.164425e-008	5.164361e-009
1.953701791670340e-008	5.164425e-008	5.162074e-009
2.013549153959345e-008	5.164425e-008	5.152475e-009
2.077627849074559e-008	5.164425e-008	5.127649e-009
2.142469592393643e-008	5.164425e-008	5.080833e-009
2.201077687902847e-008	5.164425e-008	5.008614e-009
2.250372570265102e-008	5.164425e-008	4.905872e-009
2.304883959903334e-008	5.164425e-008	4.718186e-009
2.354685673449044e-008	5.164425e-008	4.416427e-009
2.420308560239393e-008	5.164425e-008	3.638513e-009
2.499767429826198e-008	5.164425e-008	1.404302e-009
2.598835859454502e-008	5.164425e-008	-5.081007e-009
2.667906413742360e-008	5.164425e-008	-1.490011e-008
2.715616402755066e-008	5.164425e-008	-2.801172e-008
2.756416010147549e-008	5.164425e-008	-4.747661e-008
2.797916001669137e-008	5.164425e-008	-8.088345e-008
2.844689129467015e-008	5.164425e-008	-1.440547e-007
2.889092869593602e-008	5.164425e-008	-2.465259e-007
2.935065102635207e-008	5.164425e-008	-4.279743e-007
2.980367911273742e-008	5.164425e-008	-7.329850e-007
3.026474844307805e-008	5.164425e-008	-1.260464e-006
3.072810728619604e-008	5.164425e-008	-2.156913e-006
3.120179634851992e-008	5.164425e-008	-3.697688e-006
3.168615276203901e-008	5.164425e-008	-6.328579e-006
3.218898981138246e-008	5.164425e-008	-1.085009e-005
3.271704834357715e-008	5.164425e-008	-1.862178e-005
3.328623489765198e-008	5.164425e-008	-3.210076e-005
3.392130554513495e-008	5.164425e-008	-5.454424e-005
3.441815862086400e-008	5.164425e-008	-7.878285e-005
3.491188666243000e-008	5.164425e-008	-1.093413e-004
3.543195767832313e-008	5.164425e-008	-1.463854e-004
3.568685834488440e-008	5.164425e-008	-1.659978e-004
3.595648372581409e-008	5.164425e-008	-1.875110e-004
3.626571734552904e-008	5.164425e-008	-2.122384e-004
3.683740710759653e-008	5.164425e-008	-2.566856e-004
3.758216669335420e-008	5.164425e-008	-3.106772e-004
3.845043242887865e-008	5.164425e-008	-3.684682e-004
3.907914623614178e-008	5.164425e-008	-4.099516e-004
3.960965503267870e-008	5.164425e-008	-4.515820e-004
4.022768280167756e-008	5.164425e-008	-5.202948e-004
