time	V(out1)-V(out2)	I(V5)
5.050060835320783e-008	5.164418e-008	-5.526078e-003
5.097281878028802e-008	5.164410e-008	-5.471240e-003
5.144542692938176e-008	5.164398e-008	-5.425082e-003
5.195877737042573e-008	5.164375e-008	-5.390503e-003
5.243594199556025e-008	5.164340e-008	-5.382585e-003
5.293579951973647e-008	5.164281e-008	-5.414115e-003
5.342391947568414e-008	5.164184e-008	-5.501884e-003
5.393971380915971e-008	5.164006e-008	-5.671498e-003
5.446486310521799e-008	5.163729e-008	-5.913291e-003
5.463909960627943e-008	5.163601e-008	-6.006641e-003
5.475938437931347e-008	5.163492e-008	-6.068226e-003
5.483630608672093e-008	5.163414e-008	-6.092251e-003
5.490100776648142e-008	5.163344e-008	-6.082992e-003
5.495667641078629e-008	5.163281e-008	-6.025969e-003
5.501289490702227e-008	5.163214e-008	-5.878915e-003
5.507373909804466e-008	5.163138e-008	-5.555796e-003
5.513800406950057e-008	5.163053e-008	-4.933352e-003
5.520648518117516e-008	5.162957e-008	-3.803153e-003
5.528390284942162e-008	5.162835e-008	-1.746204e-003
5.537978366795982e-008	5.162668e-008	1.938126e-003
5.545663353817651e-008	5.162519e-008	5.825196e-003
5.553457080610741e-008	5.162351e-008	1.067011e-002
5.564576937226715e-008	5.162089e-008	1.848466e-002
5.572827322375300e-008	5.161877e-008	2.440533e-002
5.580903779225549e-008	5.161653e-008	2.963834e-002
5.589304719463219e-008	5.161400e-008	3.423427e-002
5.601638657203523e-008	5.160985e-008	4.042722e-002
5.614842323276128e-008	5.160461e-008	4.740528e-002
5.636397587252911e-008	5.159388e-008	6.016011e-002
5.666012786462028e-008	5.157444e-008	7.942871e-002
5.696158878301766e-008	5.154671e-008	9.961528e-002
5.730883307862338e-008	5.149981e-008	1.218530e-001
5.768210421980221e-008	5.141914e-008	1.432131e-001
5.817838649866277e-008	5.123505e-008	1.671081e-001
5.871016242070800e-008	5.089015e-008	1.879200e-001
5.917456631427801e-008	5.036805e-008	2.024576e-001
5.959902190525809e-008	4.955202e-008	2.128308e-001
6.005661663886404e-008	4.811860e-008	2.218165e-001
6.043777499892684e-008	4.619874e-008	2.288756e-001
6.082435093079575e-008	4.338900e-008	2.362877e-001
6.098542605683304e-008	4.186762e-008	2.391065e-001
6.108494607759118e-008	4.071235e-008	2.403299e-001
6.123302433273650e-008	3.874070e-008	2.414490e-001
6.131078245343099e-008	3.757056e-008	2.418332e-001
6.143102533140262e-008	3.552987e-008	2.422296e-001
6.155791760822140e-008	3.307257e-008	2.425346e-001
6.172658071532024e-008	2.922543e-008	2.428225e-001
6.191079172295771e-008	2.413464e-008	2.430481e-001
6.215004034055400e-008	1.589322e-008	2.432574e-001
6.241409604248222e-008	4.113027e-009	2.434243e-001
6.274547709047471e-008	-1.559329e-008	2.435759e-001
6.310798600919800e-008	-4.551411e-008	2.436967e-001
6.357730591616694e-008	-1.001527e-007	2.438107e-001
6.405649605956540e-008	-1.777484e-007	2.438966e-001
6.452386409632529e-008	-2.799476e-007	2.439574e-001
6.497293967780024e-008	-4.072403e-007	2.439994e-001
6.543048156942917e-008	-5.688475e-007	2.440300e-001
6.589687438226215e-008	-7.670795e-007	2.440523e-001
6.636182852104956e-008	-9.983313e-007	2.440682e-001
6.684011445898181e-008	-1.269649e-006	2.440796e-001
6.730455183659737e-008	-1.564196e-006	2.440871e-001
6.780259807185440e-008	-1.911473e-006	2.440921e-001
6.826925837514763e-008	-2.265377e-006	2.440946e-001
6.873614812095692e-008	-2.650033e-006	2.440953e-001
6.923436809974286e-008	-3.099527e-006	2.440946e-001
6.976064632062901e-008	-3.630087e-006	2.440924e-001
7.027766724603901e-008	-4.234549e-006	2.440891e-001
7.082937368685779e-008	-5.040831e-006	2.440844e-001
7.147355006304031e-008	-6.371521e-006	2.440780e-001
7.208964351686952e-008	-8.445609e-006	2.440709e-001
